model,training_population,training_p_noise,training_opponent,training_history_length,training_memory_label,seed,test_opponent,episodes,n_rounds,p_noise,observation_mode,history_length,mean_reward,std_reward,mean_reward_per_round,mean_cooperation_rate,mean_defection_rate
q_agent_partial_obs_vs_hard_majo_last1_seed1,,0.0,hard_majo,1,last1,1,hard_majo,100,200,0.0,last_n,1,494.0,0.0,2.47,0.25,0.75
q_agent_partial_obs_vs_hard_majo_last1_seed1,,0.0,hard_majo,1,last1,1,soft_majo,100,200,0.0,last_n,1,504.0,0.0,2.52,0.25,0.75
q_agent_partial_obs_vs_hard_majo_last1_seed2,,0.0,hard_majo,1,last1,2,tftt,100,200,0.0,last_n,1,341.0,0.0,1.705,0.135,0.8649999999999999
q_agent_partial_obs_vs_hard_majo_last1_seed2,,0.0,hard_majo,1,last1,2,hard_tft,100,200,0.0,last_n,1,197.0,0.0,0.985,0.10500000000000002,0.8949999999999996
q_agent_partial_obs_vs_hard_majo_last1_seed2,,0.0,hard_majo,1,last1,2,cycler_ddc,100,200,0.0,last_n,1,419.0,0.0,2.095,0.19500000000000003,0.8050000000000002
q_agent_partial_obs_vs_hard_majo_last1_seed2,,0.0,hard_majo,1,last1,2,cycler_ccd,100,200,0.0,last_n,1,656.0,0.0,3.28,0.24,0.7600000000000001
q_agent_partial_obs_vs_hard_majo_last1_seed2,,0.0,hard_majo,1,last1,2,hard_majo,100,200,0.0,last_n,1,392.0,0.0,1.96,0.165,0.8349999999999997
q_agent_partial_obs_vs_hard_majo_last1_seed2,,0.0,hard_majo,1,last1,2,soft_majo,100,200,0.0,last_n,1,402.0,0.0,2.01,0.165,0.8349999999999997
q_agent_partial_obs_vs_hard_majo_last1_seed3,,0.0,hard_majo,1,last1,3,tftt,100,200,0.0,last_n,1,462.0,0.0,2.31,0.25,0.75
q_agent_partial_obs_vs_hard_majo_last1_seed3,,0.0,hard_majo,1,last1,3,hard_tft,100,200,0.0,last_n,1,194.0,0.0,0.97,0.135,0.8649999999999999
