model,training_population,training_p_noise,test_opponent,episodes,n_rounds,p_noise,observation_mode,history_length,mean_reward,std_reward,mean_reward_per_round,mean_cooperation_rate,mean_defection_rate
q_agent_population_exploitative_pnoise0p05_seed2,exploitative,0.05,prober,100,200,0.05,last_n,3,460.01,16.68621886467992,2.30005,0.50645,0.49355
q_agent_population_exploitative_pnoise0p05_seed2,exploitative,0.05,prober_3,100,200,0.05,last_n,3,447.99,49.26428625282214,2.23995,0.4941499999999999,0.5058500000000001
q_agent_population_exploitative_pnoise0p05_seed2,exploitative,0.05,hard_prober,100,200,0.05,last_n,3,452.16,41.43083875569019,2.2608,0.49335,0.50665
q_agent_population_exploitative_pnoise0p05_seed2,exploitative,0.05,tft,100,200,0.1,last_n,3,445.26,20.595931637097653,2.2263,0.47755,0.5224500000000001
q_agent_population_exploitative_pnoise0p05_seed2,exploitative,0.05,mist,100,200,0.1,last_n,3,442.05,20.623469640193914,2.2102500000000003,0.4766500000000001,0.52335
q_agent_population_exploitative_pnoise0p05_seed2,exploitative,0.05,tftt,100,200,0.1,last_n,3,601.12,18.383296766358313,3.0056,0.6008499999999999,0.3991499999999999
q_agent_population_exploitative_pnoise0p05_seed2,exploitative,0.05,hard_tft,100,200,0.1,last_n,3,239.49,18.16562412910715,1.1974500000000001,0.3430500000000001,0.65695
q_agent_population_exploitative_pnoise0p05_seed2,exploitative,0.05,generous_tft,100,200,0.1,last_n,3,479.68,19.395298399354417,2.3984,0.49715,0.50285
q_agent_population_exploitative_pnoise0p05_seed2,exploitative,0.05,alld,100,200,0.1,last_n,3,204.35,12.791696525480894,1.02175,0.31344999999999995,0.68655
q_agent_population_exploitative_pnoise0p05_seed2,exploitative,0.05,soft_majo,100,200,0.1,last_n,3,285.49,171.01371260808295,1.42745,0.37315000000000004,0.6268499999999999
q_agent_population_exploitative_pnoise0p05_seed2,exploitative,0.05,hard_majo,100,200,0.1,last_n,3,268.83,158.43200781407776,1.34415,0.36430000000000007,0.6356999999999999
q_agent_population_exploitative_pnoise0p05_seed2,exploitative,0.05,joss,100,200,0.1,last_n,3,418.47,23.101279185361143,2.09235,0.47190000000000004,0.5280999999999999
q_agent_population_exploitative_pnoise0p05_seed2,exploitative,0.05,soft_joss,100,200,0.1,last_n,3,434.11,22.336470177716084,2.17055,0.47855,0.5214500000000001
q_agent_population_exploitative_pnoise0p05_seed2,exploitative,0.05,prober,100,200,0.1,last_n,3,444.68,39.125408624064235,2.2234,0.48239999999999994,0.5176000000000002
q_agent_population_exploitative_pnoise0p05_seed2,exploitative,0.05,prober_3,100,200,0.1,last_n,3,422.77,74.64728461236885,2.11385,0.4656,0.5344
q_agent_population_exploitative_pnoise0p05_seed2,exploitative,0.05,hard_prober,100,200,0.1,last_n,3,434.62,60.940590742131796,2.1731,0.47239999999999993,0.5276000000000001
q_agent_population_exploitative_pnoise0p05_seed2,exploitative,0.05,tft,100,200,0.2,last_n,3,454.17,23.165083638959732,2.2708500000000003,0.5134500000000001,0.4865499999999999
q_agent_population_exploitative_pnoise0p05_seed2,exploitative,0.05,mist,100,200,0.2,last_n,3,451.32,23.41020290386224,2.2566,0.5119,0.4881
q_agent_population_exploitative_pnoise0p05_seed2,exploitative,0.05,tftt,100,200,0.2,last_n,3,555.19,20.821957160651348,2.7759500000000004,0.6256499999999999,0.37434999999999996
q_agent_population_exploitative_pnoise0p05_seed2,exploitative,0.05,hard_tft,100,200,0.2,last_n,3,302.43,22.93174873401503,1.51215,0.44955,0.55045
q_agent_population_exploitative_pnoise0p05_seed2,exploitative,0.05,generous_tft,100,200,0.2,last_n,3,470.06,22.4146469969973,2.3503,0.52825,0.47174999999999995
q_agent_population_exploitative_pnoise0p05_seed2,exploitative,0.05,alld,100,200,0.2,last_n,3,255.75,19.858688274908793,1.27875,0.41985,0.58015
q_agent_population_exploitative_pnoise0p05_seed2,exploitative,0.05,soft_majo,100,200,0.2,last_n,3,435.91,160.70097043888688,2.1795500000000003,0.5548000000000001,0.4452
q_agent_population_exploitative_pnoise0p05_seed2,exploitative,0.05,hard_majo,100,200,0.2,last_n,3,425.86,162.3352099823079,2.1293,0.5482,0.4517999999999999
q_agent_population_exploitative_pnoise0p05_seed2,exploitative,0.05,joss,100,200,0.2,last_n,3,431.65,21.90450866830845,2.15825,0.50865,0.49135000000000006
q_agent_population_exploitative_pnoise0p05_seed2,exploitative,0.05,soft_joss,100,200,0.2,last_n,3,443.03,23.45269920499557,2.21515,0.5137,0.48629999999999995
q_agent_population_exploitative_pnoise0p05_seed2,exploitative,0.05,prober,100,200,0.2,last_n,3,444.97,51.264501363028984,2.22485,0.51285,0.48714999999999997
q_agent_population_exploitative_pnoise0p05_seed2,exploitative,0.05,prober_3,100,200,0.2,last_n,3,416.3,80.90012360929987,2.0815,0.49845,0.50155
q_agent_population_exploitative_pnoise0p05_seed2,exploitative,0.05,hard_prober,100,200,0.2,last_n,3,437.03,60.50792592710479,2.1851499999999997,0.5055000000000001,0.49449999999999994
q_agent_population_exploitative_pnoise0p05_seed3,exploitative,0.05,tft,100,200,0.0,last_n,3,504.0,0.0,2.52,0.6150000000000002,0.38499999999999984
q_agent_population_exploitative_pnoise0p05_seed3,exploitative,0.05,mist,100,200,0.0,last_n,3,500.0,0.0,2.5,0.6150000000000002,0.38499999999999984
q_agent_population_exploitative_pnoise0p05_seed3,exploitative,0.05,tftt,100,200,0.0,last_n,3,638.0,0.0,3.19,0.5900000000000001,0.4099999999999999
q_agent_population_exploitative_pnoise0p05_seed3,exploitative,0.05,hard_tft,100,200,0.0,last_n,3,161.0,0.0,0.805,0.215,0.7849999999999998
q_agent_population_exploitative_pnoise0p05_seed3,exploitative,0.05,generous_tft,100,200,0.0,last_n,3,514.42,10.76213733419157,2.5721,0.5756999999999999,0.42430000000000007
q_agent_population_exploitative_pnoise0p05_seed3,exploitative,0.05,alld,100,200,0.0,last_n,3,157.0,0.0,0.785,0.215,0.7849999999999998
q_agent_population_exploitative_pnoise0p05_seed3,exploitative,0.05,soft_majo,100,200,0.0,last_n,3,161.0,0.0,0.805,0.215,0.7849999999999998
q_agent_population_exploitative_pnoise0p05_seed3,exploitative,0.05,hard_majo,100,200,0.0,last_n,3,157.0,0.0,0.785,0.215,0.7849999999999998
q_agent_population_exploitative_pnoise0p05_seed3,exploitative,0.05,joss,100,200,0.0,last_n,3,442.43,17.145993701153632,2.21215,0.5551499999999999,0.44484999999999997
q_agent_population_exploitative_pnoise0p05_seed3,exploitative,0.05,soft_joss,100,200,0.0,last_n,3,469.16,15.443911421657404,2.3458,0.5794999999999999,0.4205
q_agent_population_exploitative_pnoise0p05_seed3,exploitative,0.05,prober,100,200,0.0,last_n,3,514.0,0.0,2.57,0.6300000000000001,0.36999999999999994
q_agent_population_exploitative_pnoise0p05_seed3,exploitative,0.05,prober_3,100,200,0.0,last_n,3,511.0,0.0,2.555,0.6300000000000001,0.36999999999999994
q_agent_population_exploitative_pnoise0p05_seed3,exploitative,0.05,hard_prober,100,200,0.0,last_n,3,512.0,0.0,2.56,0.625,0.375
q_agent_population_exploitative_pnoise0p05_seed3,exploitative,0.05,tft,100,200,0.05,last_n,3,458.35,18.396942680782587,2.29175,0.5184999999999998,0.48150000000000015
q_agent_population_exploitative_pnoise0p05_seed3,exploitative,0.05,mist,100,200,0.05,last_n,3,455.25,18.142422660714306,2.27625,0.5187999999999999,0.4812000000000001
q_agent_population_exploitative_pnoise0p05_seed3,exploitative,0.05,tftt,100,200,0.05,last_n,3,619.13,15.866099079483904,3.09565,0.59505,0.40495000000000003
q_agent_population_exploitative_pnoise0p05_seed3,exploitative,0.05,hard_tft,100,200,0.05,last_n,3,202.95,14.477827875755397,1.01475,0.28495000000000004,0.7150499999999999
q_agent_population_exploitative_pnoise0p05_seed3,exploitative,0.05,generous_tft,100,200,0.05,last_n,3,488.29,15.847583411990612,2.44145,0.52845,0.47155
q_agent_population_exploitative_pnoise0p05_seed3,exploitative,0.05,alld,100,200,0.05,last_n,3,179.97,9.332154092169716,0.89985,0.26080000000000003,0.7392
q_agent_population_exploitative_pnoise0p05_seed3,exploitative,0.05,soft_majo,100,200,0.05,last_n,3,235.24,154.8407646584064,1.1762000000000001,0.30010000000000003,0.6999000000000001
q_agent_population_exploitative_pnoise0p05_seed3,exploitative,0.05,hard_majo,100,200,0.05,last_n,3,190.66,71.89912655936789,0.9533,0.26839999999999997,0.7315999999999999
q_agent_population_exploitative_pnoise0p05_seed3,exploitative,0.05,joss,100,200,0.05,last_n,3,422.62,20.25624841869787,2.1131,0.5004000000000001,0.49959999999999993
q_agent_population_exploitative_pnoise0p05_seed3,exploitative,0.05,soft_joss,100,200,0.05,last_n,3,437.35,20.02317407405729,2.18675,0.5063500000000001,0.49365000000000003
q_agent_population_exploitative_pnoise0p05_seed3,exploitative,0.05,prober,100,200,0.05,last_n,3,465.92,17.763265465561226,2.3296,0.5314,0.4686
q_agent_population_exploitative_pnoise0p05_seed3,exploitative,0.05,prober_3,100,200,0.05,last_n,3,455.03,50.25822420261186,2.27515,0.5220499999999999,0.47794999999999993
q_agent_population_exploitative_pnoise0p05_seed3,exploitative,0.05,hard_prober,100,200,0.05,last_n,3,459.09,43.35299182294113,2.2954499999999998,0.52315,0.47685
q_agent_population_exploitative_pnoise0p05_seed3,exploitative,0.05,tft,100,200,0.1,last_n,3,447.87,16.894765461526834,2.23935,0.48869999999999997,0.5113
q_agent_population_exploitative_pnoise0p05_seed3,exploitative,0.05,mist,100,200,0.1,last_n,3,444.26,16.981531144157763,2.2213,0.4867,0.5133
q_agent_population_exploitative_pnoise0p05_seed3,exploitative,0.05,tftt,100,200,0.1,last_n,3,597.65,20.984935072570515,2.98825,0.60375,0.39625
q_agent_population_exploitative_pnoise0p05_seed3,exploitative,0.05,hard_tft,100,200,0.1,last_n,3,241.74,18.207481978571337,1.2087,0.34725,0.6527499999999999
q_agent_population_exploitative_pnoise0p05_seed3,exploitative,0.05,generous_tft,100,200,0.1,last_n,3,478.12,19.737922889706507,2.3906,0.5110000000000001,0.48899999999999993
q_agent_population_exploitative_pnoise0p05_seed3,exploitative,0.05,alld,100,200,0.1,last_n,3,204.28,14.038575426303055,1.0214,0.31145,0.68855
